,Code,Year,Coal rents (% of GDP),Current health expenditure (% of GDP),Exports of goods and services (% of GDP),Forest rents (% of GDP),Fuel exports (% of merchandise exports),Fuel imports (% of merchandise imports),GDP (constant 2015 US$),GDP (current US$),Gini index,"Government expenditure on education, total (% of GDP)",Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Manufactures exports (% of merchandise exports),Manufactures imports (% of merchandise imports),Merchandise exports (current US$),Merchandise imports (current US$),Merchandise trade (% of GDP),Military expenditure (% of GDP),Mineral rents (% of GDP),Natural gas rents (% of GDP),Oil rents (% of GDP),"Population, total",Research and development expenditure (% of GDP),Ores and metals exports (% of merchandise exports),Ores and metals imports (% of merchandise imports),Total natural resources rents (% of GDP),Human Development Index,GDP_pc
1101,DZA,2019,0.0,6.25170851,22.7144125423167,0.142246577676085,,,177355540843.199,171760275466.61,,6.03690671920776,29.0953258992595,1.95176821052892,,,35312000000.0,44632000000.0,46.5439402579097,5.99969025937654,0.0029012873898952,4.23642792336282,14.1421031504305,42705368,,,,18.5236789388593,0.748,4153.003454816242
1102,DZA,2020,0.0,6.32117987,17.4699219024836,0.155457100051892,,,168310408264.397,145743542982.628,,7.04239749908447,27.8607342140727,2.41513094083414,,,21925000000.0,35547000000.0,39.4336509349512,6.69246839735744,0.002009997415696,4.83849619936078,9.03841379679424,43451666,,,,14.0343770936226,0.736,3873.5087456576925
1103,DZA,2021,0.0,,26.7345432146852,0.129189496160402,,,174032962144.942,163472387986.768,,6.29934740066528,26.4609838174217,7.22606307415477,,,38558000000.0,37464000000.0,46.50448980176,5.58544666775166,0.0037867683651986,7.9957286210892,14.4615654623053,44177969,,,,22.5902703479201,0.745,3939.360864347159
1104,ECU,1998,0.0,,17.8919508668257,0.836477723285144,21.9572375032799,5.96051578894589,55429750211.1927,27981896948.4742,,2.19536995887756,25.5031570829793,36.0984331623886,9.64633972133306,75.2119551072648,4203000000.0,5576000000.0,34.9475949325631,2.35723486474882,0.0129509600672262,0.0026464706314381,3.21214311967333,12199693,0.0651699975132942,0.154204597634885,1.37172606189094,4.06421827365714,0.684,4543.536481712507
1105,ECU,1999,0.0,,26.3775416402476,0.348366352717023,33.242154001429,8.2016720643485,52802720505.7765,19645272636.3182,58.6,1.54734003543854,22.82370915869,52.2420051858225,8.26937444686973,74.7088478000046,4451000000.0,3017000000.0,38.014234458594,1.75192504601763,0.0159090707299482,0.0054774308663152,7.86330811758721,12412046,,0.127887166128151,1.42169666387229,8.23306097190049,0.683,4254.1512097019695
1106,ECU,2000,0.0,3.33109665,32.1275352850362,0.353764628808119,50.6508422802778,8.14141693943506,53379221434.2819,18327764882.4412,56.4,1.15093004703522,27.3371640115967,96.0963756926096,8.57875895500945,76.4657573514368,4927000000.0,3721000000.0,47.1852408379876,1.45207595274333,0.0312504676242629,0.0149274346317537,16.3324950885101,12626507,,0.203257023837646,1.76696780684105,16.7324376195742,0.687,4227.552515852713
1107,ECU,2001,0.0,3.75336552,23.2227470913006,0.293881074495603,40.8783929169536,5.60877359812019,55522733410.3626,24468324000.0,,,27.5223100691327,37.6767454518094,10.9893688755627,79.7567815864923,4678000000.0,5363000000.0,41.0367297735636,1.56937598177954,0.0101999192713221,0.0125625783754855,9.09069290930629,12845521,0.0515000000596046,0.237367080261315,1.23284354012426,9.40733648144871,0.693,4322.341881684877
1108,ECU,2002,0.0,4.4733963,21.4923738863205,0.250010764620851,40.9750775445068,4.49686375905545,57797375793.0758,28548945000.0,,,27.884175755006,12.4835980082095,9.35581294006447,83.2217660247826,5042000000.0,6431000000.0,40.1871242527526,1.76889198532555,0.0591764232924235,0.0052559739651216,8.07370405839442,13070609,0.0553399994969368,0.263377478596076,1.19224732461656,8.38814722027282,0.698,4421.934417369213
1109,ECU,2003,0.0,5.44066668,22.5984000546606,0.238845200527549,43.1626885974467,10.2445738970941,59371127439.9001,32432858000.0,53.5,,24.643230639742,7.92936487461556,10.1157715823341,78.0010017563051,6223000000.0,6703000000.0,39.8546437073168,2.2785533646602,0.104498850632412,0.0052872442884199,8.39147653417875,13301184,0.0573499985039234,0.188013321764884,1.02332682850449,8.74010782962713,0.703,4463.597183521414
1110,ECU,2004,0.0,5.56659126,24.5543485987149,0.230239324591933,55.6625239238104,10.1647065402517,64246103132.8511,36591661000.0,53.9,,26.1108917684824,2.74323198926704,7.29856190920386,78.2362743879289,7753000000.0,8226000000.0,43.668419424852,1.9403327987762,0.0862266175887913,0.0053453483959928,12.2508252521177,13534593,,0.260353137241963,1.19486631544337,12.5726365426945,0.71,4746.807172764715
