Country Name,Time Code,Arms exports (SIPRI trend indicator values) [MS.MIL.XPRT.KD],Arms imports (SIPRI trend indicator values) [MS.MIL.MPRT.KD],"Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]",Coal rents (% of GDP) [NY.GDP.COAL.RT.ZS],Consumer price index (2010 = 100) [FP.CPI.TOTL],"Cost of business start-up procedures, female (% of GNI per capita) [IC.REG.COST.PC.FE.ZS]",Coverage of social insurance programs (% of population) [per_si_allsi.cov_pop_tot],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"Current education expenditure, total (% of total expenditure in public institutions) [SE.XPD.CTOT.ZS]",Domestic credit to private sector (% of GDP) [FS.AST.PRVT.GD.ZS],"Energy imports, net (% of energy use) [EG.IMP.CONS.ZS]",Expense (% of GDP) [GC.XPN.TOTL.GD.ZS],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Food exports (% of merchandise exports) [TX.VAL.FOOD.ZS.UN],Food imports (% of merchandise imports) [TM.VAL.FOOD.ZS.UN],Forest rents (% of GDP) [NY.GDP.FRST.RT.ZS],Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS],Fuel exports (% of merchandise exports) [TX.VAL.FUEL.ZS.UN],Fuel imports (% of merchandise imports) [TM.VAL.FUEL.ZS.UN],GDP (constant 2015 US$) [NY.GDP.MKTP.KD],GDP (current US$) [NY.GDP.MKTP.CD],Gini index [SI.POV.GINI],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]",Gross savings (% of GDP) [NY.GNS.ICTR.ZS],Human capital index (HCI) (scale 0-1) [HD.HCI.OVRL],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Interest payments (% of expense) [GC.XPN.INTP.ZS],"Labor force, total [SL.TLF.TOTL.IN]",Land area (sq. km) [AG.LND.TOTL.K2],"Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]",Manufactures exports (% of merchandise exports) [TX.VAL.MANF.ZS.UN],Manufactures imports (% of merchandise imports) [TM.VAL.MANF.ZS.UN],"Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]",Merchandise exports (current US$) [TX.VAL.MRCH.CD.WT],Merchandise imports (current US$) [TM.VAL.MRCH.CD.WT],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mineral rents (% of GDP) [NY.GDP.MINR.RT.ZS],Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],"Population, total [SP.POP.TOTL]","Population, female (% of total population) [SP.POP.TOTL.FE.ZS]","Population, male (% of total population) [SP.POP.TOTL.MA.ZS]",Research and development expenditure (% of GDP) [GB.XPD.RSDV.GD.ZS],Researchers in R&D (per million people) [SP.POP.SCIE.RD.P6],Surface area (sq. km) [AG.SRF.TOTL.K2],"Services, value added (% of GDP) [NV.SRV.TOTL.ZS]",Agricultural raw materials imports (% of merchandise imports) [TM.VAL.AGRI.ZS.UN],Agricultural raw materials exports (% of merchandise exports) [TX.VAL.AGRI.ZS.UN],Ores and metals exports (% of merchandise exports) [TX.VAL.MMTL.ZS.UN],Ores and metals imports (% of merchandise imports) [TM.VAL.MMTL.ZS.UN],Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],Human Development Index
Lithuania,YR1999,..,5000000,31.0785660449799,0,73.6812116625561,..,..,..,..,..,54.0607619675957,37.6863604965312,32.4181587307582,12.4263822458541,10.7730486616666,0.710360734778868,60.2676664866385,14.4169947187608,14.748863341962,21677880321.5578,10971583944.7561,..,..,10.5134386963459,..,42.4033364331132,0.727550626557424,..,1720980,62680,..,65.3305041598877,66.8510417410575,15.1373658794485,3004000000,4835000000,71.4482069268279,0.970102491828194,0,0,0.124753394103413,3524238,53.4678850306994,46.5321149693006,0.502059996128082,2339.32202148438,65300,55.2358114263865,3.06411474206871,6.08208438963571,1.56250012432051,2.35011954327993,0.835114128882281,0.753
Lithuania,YR2000,..,6000000,32.6930235463493,0,74.4044778412456,..,..,6.19950438,..,..,52.5218130054975,37.1731723001854,38.593931417507,11.6102965159392,9.68715025783298,0.657243165462163,58.6737698267062,20.8549209883702,21.7232648402355,22478991899.5918,11524776866.6379,..,5.60238599777222,12.9499928996497,..,44.7846579106665,0.981615478857598,..,1693580,62680,..,60.0288155505373,60.6866466335476,16.7819624738998,3810000000,5457000000,80.4093659012719,1.21669999047963,0,0,0.350374403020056,3499536,53.5321756054847,46.4677966139363,0.585529983043671,2149.71728515625,65300,56.9388472596318,2.99349636653211,5.20796667260885,2.07666716802062,2.24363420941918,1.00761756848222,0.766
Lithuania,YR2001,..,16000000,31.7342072174014,0,75.4216765680072,..,..,6.01339626,..,..,47.8357034329313,34.3416321659836,44.0970221232765,12.2787406457671,9.24079920011052,0.593577237447843,57.4437163767391,23.1440094567078,20.3105824731575,23945995391.1406,12237388001.7264,..,5.84758996963501,14.3709155715019,..,49.568675039751,1.36712030817819,..,1658207,62680,99.645751953125,58.1903628616921,64.0419317322961,17.2466571592579,4583000000,6353000000,89.3654756918488,1.36194363753379,0,0,0.356954383456659,3470818,53.6049966546278,46.3950033453722,0.667620003223419,2254.58642578125,65300,57.0462510652807,2.86056997020377,4.33957328119722,1.80172877949119,1.48507677095227,0.950531620904502,0.776
Lithuania,YR2002,3000000,13000000,30.522482331338,0,75.6339935731796,..,..,6.14446115,..,..,42.1079708396216,32.7741240196125,47.403784740333,10.6700895864306,7.91696716211946,0.511066864176344,53.4532136853906,18.617772431732,16.4317867127525,25562688814.3281,14259781159.0119,..,5.80007982254028,15.6719696013065,..,53.0868363338602,0.281506610345575,..,1641395,62680,..,64.1737694605895,69.0444574267569,16.3078353479153,5475000000,7709000000,92.4558368251531,1.27128874631595,0,0,0.298245654690125,3443067,53.680287183653,46.319712816347,0.657549977302551,1787.66418457031,65300,57.8883270610442,2.6798022370789,4.4601341213205,1.84617028631996,1.95270190774422,0.809312518866469,0.786
Lithuania,YR2003,..,1000000,27.264414958418,0,74.7760707174463,4,..,6.18627787,95.5090713500977,..,40.9803445818043,31.561977552427,46.2209840771133,11.5583455548776,8.0427909090297,0.495587211728695,52.1590590386662,19.4332920697522,16.7800903523171,28263631519.6211,18781721376.1985,..,5.11418008804321,15.2598770380209,..,52.0139224057471,-1.13430854990247,..,1689186,62680,..,62.8786316921232,69.4270178710506,16.6887427480463,7162000000,9803000000,90.3271838623865,1.12122849806511,0,0,0.236285179210918,3415213,53.7498180665336,46.2501819334664,0.664129972457886,1891.26403808594,65300,57.3205182751996,2.45570119526209,4.32574875884392,1.57872741824083,1.72292458334536,0.731872390939613,0.8
Lithuania,YR2004,..,47000000,26.1317974547178,0,75.6465408418078,3.7,..,5.51149988,94.3479995727539,..,43.438122399394,31.8106108294283,48.7713580307085,11.3243340485598,8.13822024885179,0.441751083809341,53.3631103036763,25.0656944009742,18.7361664934165,30120407999.1594,22627507451.5648,37,5.17428016662598,15.0711520097296,..,55.8326608458145,1.16410252104671,2.95393827379469,1596580,62680,..,57.5730841926871,67.892812306894,18.2409460896353,9302000000,12387000000,95.8523604353076,1.19594328186275,0,0,0.213297786959526,3377075,53.8139672546325,46.1860035277367,0.751399993896484,2134.37133789063,65300,56.7019905795215,2.45714268678799,3.78382690095436,1.89642449160213,1.63205247812752,0.655048870768867,0.809
Lithuania,YR2005,..,10000000,23.9357313179843,0,77.6575926625653,3.3,..,5.64800453,93.1564712524414,..,54.266883533038,31.0650139183066,55.129678025987,12.3692487621453,8.03115961244225,0.391063533661301,59.8802110943199,26.630710134146,24.1530365648721,32449428669.3601,26097677571.8373,35.3,4.87839984893799,16.8682737877318,..,62.3538990109735,2.65848484065262,2.52385301168439,1557095,62680,..,55.4528409687304,62.5114616074046,18.2650956345264,11807000000,15548000000,104.817756004157,1.16345400761345,0,0,0.199035520535653,3322528,53.8787081673723,46.1212918326277,0.74821001291275,2247.01318359375,65300,56.5336583933125,2.27993956883369,3.26218887301447,1.49856400555868,1.49786305898454,0.590099054196955,0.817
Lithuania,YR2006,..,53000000,20.8232378679491,0,80.561303272864,2.8,..,5.84418154,90.5268325805664,..,58.3451494392794,30.9714250744316,57.0374548746781,13.7080405928038,8.80183870712837,0.386222248962889,61.1454661770683,23.5040961235158,22.3701278747551,34855268683.5691,30183575103.5262,34.4,4.82572984695435,16.3544184634957,..,67.297988454054,3.73912004060664,2.25622771119222,1513906,62680,..,57.5541328108229,64.5271942907424,17.588973583698,14142000000,19373000000,111.037211082675,1.16518481322546,0,0,0.163827335648741,3269909,53.9435053139818,46.0564645921132,0.79203999042511,2383.27612304688,65300,56.3545504022714,1.95937577221733,2.80924432231108,1.70876014224856,1.67994597393145,0.550049584611631,0.823
Lithuania,YR2007,..,4000000,17.6895186651757,0,85.1832452797292,3,..,5.7643218,88.7015075683594,..,58.175861424791,31.3454012394309,51.6412116291977,16.7353359256316,9.42716087838039,0.36899966627528,60.970620197516,13.32657182512,16.2073903333226,38726810730.7062,39697891351.9431,34.8,4.59521007537842,17.0015707561425,..,64.7461762982107,5.73717382799842,2.06917263335438,1513018,62680,..,64.1579638630517,69.7609562910686,15.9083628991943,17144000000,24412000000,104.680623037591,1.11360756727258,0,0,0.111123246183541,3231294,54.0079537516295,45.9920462483705,0.801739990711212,2567.6787109375,65300,56.689979142207,2.01647440272801,3.00629700966057,2.04846144785701,1.63165894183607,0.480122912458821,0.83
Lithuania,YR2008,..,27000000,14.7688796841721,0,94.4902692299447,2.7,45.03507583,6.29453707,90.9107513427734,..,57.6938602727101,34.4691209604683,57.6213269862551,15.5090285256923,10.6342425147652,0.319020219473437,60.2506773202724,24.8328249799445,27.6973109650572,39739293390.5074,47797551587.8823,35.7,4.83990001678467,14.9078332019954,..,69.2277606166576,10.9258856241655,1.75065142439293,1511945,62675,..,55.2180018143806,56.4608575654773,15.7165997240606,23646000000,31099000000,114.5351554239,1.13160855191207,0,0,0.120394867137278,3198231,54.0522234055684,45.9477765944315,0.78931999206543,2596.92358398438,65300,57.246401239777,1.50254707285597,1.90534188355688,1.73357011313373,2.41534382408311,0.439415086610715,0.84
Lithuania,YR2009,..,27000000,30.7436903314364,0,98.6979630285178,2.4,..,7.36587334,96.0903167724609,..,49.8884630262063,41.8091449924834,51.7893007830051,19.0608714547518,14.0868411749253,0.3303576107812,55.3710044945692,21.3157018262962,27.6827715475959,33842535273.8547,37388122046.1496,37.2,5.58523988723755,14.7271806375687,..,53.5494775163712,4.45304456518535,2.83186600899994,1519375,62675,..,55.28025053635,53.1632101457955,15.1144913292423,16454000000,18304000000,92.9653539621404,1.08280378279988,0,0,0.0715728904991753,3162916,54.0594042595471,45.9405957404529,0.830839991569519,2651.92260742188,65300,62.5770517657814,1.70474687040404,2.03678562646675,1.07189998735884,1.72021560051206,0.401930501280375,0.839
Lithuania,YR2010,..,8000000,41.2261177413734,0,99.9999999999999,2.8,..,6.81462288,92.3712615966797,58.6255900147511,78.4405031813799,39.5318934802815,63.9423585065945,17.3467120005964,12.4511449440879,0.444399073634748,74.2975094170234,23.3502789739783,32.0415703419393,34401356974.3984,37128694028.243,33.6,5.29786014556885,18.3252826217857,0.688390016555786,65.9450243568191,1.31921362055463,4.59881766473671,1498066,62675,..,53.9616577162263,49.8489745148238,16.9270538210026,20748000000,23403000000,118.913420349273,0.878659092050565,0,0,0.0803743997861436,3097282,54.0425846418897,45.9574153581103,0.78329998254776,2721.62719726563,65300,60.7263016798309,1.71469330291472,2.34403437365482,1.43948232775385,1.63155878499164,0.524773473420892,0.842
Lithuania,YR2011,..,1000000,41.0538558275767,0,104.130275626451,2.8,..,6.48781538,88.3433303833008,49.5000058753716,78.9987473425003,39.5196941179356,72.8810089085961,15.8109904528638,11.5342543655965,0.441104602702902,73.8759517274449,25.2868447389065,32.9237263727111,36478857729.3719,43535051482.3869,32.5,5.11343002319336,18.3051651819064,..,75.5662102013822,4.13027562645085,4.61261546021803,1481727,62674,99.8155975341797,53.1419572366063,49.5303907419433,18.3755121152717,28050000000,31773000000,137.413412785793,0.790700848052255,0,0,0.111619814532788,3028115,54.0048738659745,45.9950938738589,0.9026899933815,2690.3701171875,65300,58.4836119281284,1.74673305163182,2.38825392067277,1.77618677176912,2.00388086383545,0.55272441723569,0.849
Lithuania,YR2012,..,1000000,47.1986083994861,0,107.347883202239,1.1,..,6.2759347,87.5215606689453,46.5187793307084,78.9151079979308,33.8825763885079,78.2266282268662,17.5936622232436,12.3311522521615,0.405870637283716,72.8931944548374,24.5019872706115,33.7915058120118,37881055682.4922,42927454291.478,35.1,4.75802993774414,18.1843334568838,..,77.6165324305661,3.08998277055417,5.95818598642571,1472231,62674,..,52.3070487062746,47.5669579284142,18.7075950512423,29611000000,31965000000,143.442002364962,0.765265810142739,0,0,0.0974715128859943,2987773,53.9492991475647,46.0506682083386,0.893040001392365,2603.9697265625,65300,58.4765689410136,1.70043906350132,2.18129928843467,1.50992417836651,1.70045761945019,0.50334215016971,0.851
Lithuania,YR2013,..,73000000,44.8359155161308,0,108.472330133615,0.9,..,6.12593651,..,43.0171160061714,76.4981837740342,33.0673224286814,78.668573312647,18.2393561887804,13.3627758948967,0.377498286214361,70.0223364446159,23.0352983143341,29.9409034085769,39225860752.8062,46523420074.4372,35.3,4.60233020782471,21.2212350472642,..,77.2182175559891,1.04747937065344,5.55165355127173,1465316,62675,..,53.0687609090309,50.4881906233971,17.6273798792056,32598000000,34806000000,144.88186786817,0.762907482084214,0,0,0.0739349105055915,2957689,53.8799592759897,46.1200407240103,0.94871997833252,2809.611328125,65300,59.7291014742459,1.87837188721515,2.51133555385539,1.344888559106,1.60406335174518,0.451433196719953,0.854
Lithuania,YR2014,..,2000000,48.3320102989201,0,108.584878864148,0.2,..,6.19332647,86.0443420410156,40.8159237376703,75.0447083702897,32.6602619572601,72.2704251906117,17.924590664222,13.01504775473,0.37324321317975,67.9937494705635,17.549203568535,24.3600012174755,40613283322.7621,48533659592.1728,37.7,4.48657989501953,23.0841784648921,..,70.4512175629791,0.103758009433709,5.41017105428794,1476890,62650,..,58.0011092123651,55.9508263460454,17.3725867834534,32319000000,34359000000,137.385065458269,0.879596257744358,0,0,0.0624235150052519,2932367,53.798406438621,46.2016269511744,1.03011000156403,3014.18701171875,65286,59.4997073779012,2.07261970649118,2.68763533952547,1.35881273697137,1.47390737306655,0.435666728185002,0.861
Lithuania,YR2015,..,13000000,49.6456914528683,0,107.624882767344,0.6,..,6.49043989,87.5754318237305,41.55766482126,..,32.7646547133755,68.7776407338805,18.2115985243085,12.9755862171769,0.327502058308449,..,16.3053888986238,20.1492050706538,41435533340.3883,41435533340.3883,37.4,4.2271900177002,18.8268625853223,..,69.7746765905942,-0.884097405500596,5.22899736184199,1468508,62650,..,59.1160203857874,59.0791859637039,17.2117227531803,25392000000,28154000000,129.227249375857,1.13774817357899,0,0,0.028369813462494,2904910,53.7027395896773,46.2972266694559,1.04340994358063,2741.4384765625,65286,59.905017707796,2.26259144076855,2.94819044982298,1.29746135292864,1.8700053911797,0.355871871770943,0.862
Lithuania,YR2016,..,28000000,47.7416942235485,0,108.599453068237,0.6,..,6.63746262,93.1268081665039,42.6897889223675,..,32.6300000755981,67.5873830562834,18.289790483864,12.8673033076993,0.319623616534637,..,13.7741952160399,16.8223754034523,42479223269.264,43047309305.7363,38.4,4.004310131073,18.1344216046709,..,66.8664753811675,0.905525075460342,4.7277561234009,1476945,62642,..,62.0620092259848,63.2444580462485,16.8973677510092,25010000000,27376000000,121.694017221697,1.47750587185705,0,0,0.0181352318557627,2868231,53.5997024889959,46.4002975110041,0.842410027980804,2891.36352539063,65286,60.9366060491549,2.5583296170421,3.02786158576611,1.26489658252207,1.70880404010497,0.3377588483904,0.868
